"Client ID","Nickname","Websites Created","Websites Paid","CMS Jobs Created","CMS Jobs Paid","IT Created","IT Paid","Bidding Created","Bidding Paid","Software Created","Software Paid"
2,"theamir",6,2,17,16,0,0,0,0,0,0
41954,"be06e8af24e228efd3fcc5328975dd91",1,1,1,1,0,0,0,0,0,0
41994,"cfb66f331e6ad0686b4b8c04dff920f3",1,1,1,1,0,0,0,0,0,0
41997,"a5ec96b93138e0f528d2fa23ce364f3c",1,1,1,1,0,0,0,0,0,0
42000,"f85c1d89edc15ae2afae8ef6d1bb68f9",1,1,1,1,0,0,0,0,0,0
42003,"0bd14fe15d391a2e3985478cb7da127c",1,1,1,1,0,0,0,0,0,0
42006,"50b9498c2f4a7adf81fa4a72a042e08b",1,1,1,1,0,0,0,0,0,0
42009,"cadb8bcdf9835c53300d431fc826cdcf",1,1,1,1,0,0,0,0,0,0
42012,"fa083c7c6d59e82e9c7c1e9df63dd0c3",1,1,1,1,0,0,0,0,0,0
42015,"458f1e22650b195b57edb0ca0fa208b4",1,1,1,1,0,0,0,0,0,0
42018,"66fd8d1f378c3b5049b502b0a5e9af06",1,1,1,1,0,0,0,0,0,0
42021,"872d79bdafaaac25b5ae67adb42162ce",1,1,1,1,0,0,0,0,0,0
42024,"05e880f374371c2abf55515a46c92f57",1,1,1,1,0,0,0,0,0,0
42027,"1e7e650afea00fe506f407d236ed9a09",1,1,1,1,0,0,0,0,0,0
42030,"375f21ad90da293fa36b1fe56ba775d5",1,1,1,1,0,0,0,0,0,0
42033,"71248dfc21174c02ddd9328d210f12f8",1,1,1,1,0,0,0,0,0,0
42036,"fac78f3f58eecfba24c03771d73a2749",1,1,1,1,0,0,0,0,0,0
42039,"c18a6bc8163fd977dd33e0be9e6ddccc",1,1,1,1,0,0,0,0,0,0
42042,"74a42fa5469370bcba3bb7cd0ff64808",1,1,1,1,0,0,0,0,0,0
42045,"d4fe3de8db610263bdfb73428d25e8bf",1,1,1,1,0,0,0,0,0,0
42048,"84a6f506e028faa915c8a80fe4318800",1,1,1,1,0,0,0,0,0,0
42051,"2002a79c6bc0e8ac4b93cce833a04418",1,1,1,1,0,0,0,0,0,0
42054,"e1d6246c7357db0d4dd98a40d16046d5",1,1,1,1,0,0,0,0,0,0
42057,"ec0c934a5c11131428a349d9dc37e196",1,1,1,1,0,0,0,0,0,0
42060,"33ed6ce0ff53e603eeac964c7f755872",1,1,1,1,0,0,0,0,0,0
42063,"03f216be435d738bbc1ff168df8647ed",1,1,1,1,0,0,0,0,0,0
42066,"8009c06e0519fe480ab53a4405b7865a",1,1,1,1,0,0,0,0,0,0
42069,"219064dd24fd6cc3ea2e4b7d368d5162",1,1,1,1,0,0,0,0,0,0
42072,"2f7e2069afd703593940c748d47fbc6e",1,1,1,1,0,0,0,0,0,0
42075,"447be92aa9b73584ad57a14f3086ff86",1,1,1,1,0,0,0,0,0,0
42078,"7da2251ddfaa61020bd967d0d508efe2",1,1,1,1,0,0,0,0,0,0
42081,"26f6725da8632a95e2d20d76de41f5d8",1,1,1,1,0,0,0,0,0,0
42084,"732f5bec7b9062e5fda1cf2816a4e214",1,1,1,1,0,0,0,0,0,0
42087,"2089ce91ed8bbb784b21799c0a4106a8",1,1,1,1,0,0,0,0,0,0
42090,"9efcf567b59a42b064ba1813060f13fa",1,1,1,1,0,0,0,0,0,0
42093,"4ee9f2d05e213dbf62740214bda0fded",1,1,1,1,0,0,0,0,0,0
42096,"93fb40042293dee0dff10524ca21b917",1,1,1,1,0,0,0,0,0,0
42140,"6b4ede4a1bb3d21ce171b2a1f15300d7",1,1,1,1,0,0,0,0,0,0
42145,"9c482c333aa965f7c7b822bb827c0bc5",1,1,1,1,0,0,0,0,0,0
"","","Totals:",44,40,55,54,0,0,0,0,0,0
